Reporting number	Direction	Trigger	Arr	Dep	TPArr Tondu	TPDep Tondu	TPArr Bridgend	TPDep Bridgend	TPArr Cardiff Central	TPDep Cardiff Central	TPDep Ebbw Jn	TPArr Newport	TPDep Newport	TP1Arr Cross Keys	TP1Dep Cross Keys	TP1Arr Ebbw Vale Parkway	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday	Forms	Platform	Timing load	Disruption group	Notes	Remarks	Origin	Destination	Company	Special	Via	Calling pattern
2L49	Down		11:10		10:55	10:54	10:45	10:46	10:11	10:18	09:57	09:53	09:55				TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	2G58	1	142	Cheltenham		Forms: {Forms}	Cheltenham Spa	Maesteg	Arriva Trains Wales			Terminates here
2G58	Up			11:15	11:28	11:29	11:37	11:38	12:08	12:12	12:24	12:26	12:28				TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE		1	142			{Calling pattern}	Maesteg	Cheltenham Spa	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central, Newport, Severn Tunnel Junction, Caldicot, Chepstow, Lydney, Gloucester, Cheltenham Spa
2L51	Down		12:10		11:56	11:57	11:47	11:48	11:20	11:20							FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2G60	1	142	Cardiff		Forms: {Forms}	Cardiff Central	Maesteg	Arriva Trains Wales			Terminates here
2L51	Down		12:11		11:54	11:55	11:45	11:46	11:18	11:18							TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	2G60	1	142	Cardiff		Forms: {Forms}	Cardiff Central	Maesteg	Arriva Trains Wales			Terminates here
2G60	Up			12:17	12:30	12:31	12:39	12:40	13:08	13:12	13:25	13:27	13:29				TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		1	142			{Calling pattern}	Maesteg	Gloucester	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Llanharan, Pontyclun, Cardiff Central, Newport, Severn Tunnel Junction, Caldicot, Chepstow, Lydney, Gloucester
2G60	Up			12:18	12:31	12:32	12:41	12:42	13:09	13:12	13:23	13:25	13:27				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		1	142			{Calling pattern}	Maesteg	Gloucester	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central, Newport, Severn Tunnel Junction, Caldicot, Chepstow, Lydney, Gloucester
2L53	Down		13:10		12:54	12:55	12:45	12:46	12:14	12:18							TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	2L54	1	142	Cheltenham		Forms: {Forms}	Cheltenham Spa	Maesteg	Arriva Trains Wales			Terminates here
2L54	Up			13:15	13:28	13:29	13:37	13:38	14:07								TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE		1	142			{Calling pattern}	Maesteg	Cardiff Central	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central
2L55	Down		14:10		13:55	13:56	13:46	13:47	13:19	13:19							TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	2G62	1	142	Cardiff		Forms: {Forms}	Cardiff Central	Maesteg	Arriva Trains Wales			Terminates here
2G62	Up			14:15	14:28	14:29	14:37	14:38	15:06	15:12	15:23	15:26	15:28				TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE		1	142			{Calling pattern}	Maesteg	Cheltenham Spa	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central, Newport, Severn Tunnel Junction, Caldicot, Chepstow, Lydney, Gloucester, Cheltenham Spa
2L57	Down		15:15		14:57	14:58	14:48	14:49	14:21	14:21							TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	2G64	1	142	Cardiff		Forms: {Forms}	Cardiff Central	Maesteg	Arriva Trains Wales			Terminates here
2G64	Up			15:17	15:30	15:31	15:40	15:41	16:08	16:10	16:21	16:33	16:35				TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE		1	142			{Calling pattern}	Maesteg	Cheltenham Spa	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central, Newport, Severn Tunnel Junction, Caldicot, Chepstow, Lydney, Gloucester, Cheltenham Spa
2L59	Down		16:10		15:55	15:56	15:31	15:32	15:10	15:13	14:54	14:50	14:52				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2G66	1	142	Cheltenham		Forms: {Forms}	Cheltenham Spa	Maesteg	Arriva Trains Wales			Terminates here
2L59	Down		16:11		15:55	15:54	15:45	15:46	15:07	15:18	15:02	14:41	15:00				TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	2G66	1	142	Cheltenham		Forms: {Forms}	Cheltenham Spa	Maesteg	Arriva Trains Wales			Terminates here
2G66	Up			16:15	16:28	16:29	16:37	16:38	17:06	17:12	17:23	17:25	17:28				TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE		1	142			{Calling pattern}	Maesteg	Cheltenham Spa	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central, Newport, Severn Tunnel Junction, Caldicot, Chepstow, Lydney, Gloucester, Cheltenham Spa
2L61	Down		17:09		16:53	16:54	16:44	16:45	16:18	16:18							TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	2G68	1	142	Cardiff		Forms: {Forms}	Cardiff Central	Maesteg	Arriva Trains Wales			Terminates here
2L61	Down		17:10		16:54	16:55	16:45	16:46	16:18	16:18							FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2G68	1	142	Cardiff		Forms: {Forms}	Cardiff Central	Maesteg	Arriva Trains Wales			Terminates here
2G68	Up			17:15	17:28	17:29	17:37	17:38	18:05	18:08	18:19	18:22	18:24				TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE		1	142			{Calling pattern}	Maesteg	Cheltenham Spa	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central,  Newport, Severn Tunnel Junction, Caldicot, Chepstow, Lydney, Gloucester, Cheltenham Spa
1V97	Down		18:08		17:52	17:53	17:43	17:44	17:10	17:17	16:59	16:55	16:57				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2L56	1	175	Holyhead		Forms: {Forms}	Holyhead	Maesteg	Arriva Trains Wales			Terminates here
1V96	Down		18:15		17:59	18:00	17:50	17:51	17:16	17:23	17:03	16:59	17:01				TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	2L56	1	175	Holyhead		Forms: {Forms}	Holyhead	Maesteg	Arriva Trains Wales			Terminates here
2L56	Up			18:20	18:33	18:34	18:42	18:43	19:12								TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE		1	142			{Calling pattern}	Maesteg	Cardiff Central	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central
2L65	Down		19:08		18:53	18:54	18:39	18:45	18:09	18:12	17:56	17:52	17:54				TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	2L58	1	142	Cheltenham		Forms: {Forms}	Cheltenham Spa	Maesteg	Arriva Trains Wales			Terminates here
2L65	Down		19:11		18:55	18:56	18:46	18:47	18:07	18:19	17:54	17:50	17:52				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	1W76	1	142	Cheltenham		Forms: {Forms}	Cheltenham Spa	Maesteg	Arriva Trains Wales			Terminates here
1W76	Up			19:16	19:29	19:30	19:38	19:39	20:07	20:10	20:19	20:22	20:26				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		1	158			{Calling pattern}	Maesteg	Manchester Piccadilly	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend,  Pencoed, Llanharan, Pontyclun, Cardiff Central, Newport,  Cwmbran, Pontypool and New Inn, Abergavenny, Hereford,  Leominster,  Ludlow,  Craven Arms,  Church Stretton,  Shrewsbury,  Crewe,  Alderney Edge,  Wilmslow,  Stockport,  Manchester Piccadilly
2L58	Up			19:21	19:34	19:35	19:43	19:44	20:13								TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		1	142			{Calling pattern}	Maesteg	Cardiff Central	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central
2L67	Down		20:09		19:53	19:54	19:41	19:45	19:09	19:14	19:04	18:52	18:54				TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	2G72	1	142	Cheltenham		Forms: {Forms}	Cheltenham Spa	Maesteg	Arriva Trains Wales			Terminates here
2L67	Down		20:09		19:53	19:54	19:43	19:45	19:10	19:16	18:54	18:50	18:52				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2G72	1	142	Cheltenham		Forms: {Forms}	Cheltenham Spa	Maesteg	Arriva Trains Wales			Terminates here
2G72	Up			20:15	20:28	20:29	20:37	20:38	21:08	21:12	21:19	21:25	21:27				TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		1	142			{Calling pattern}	Maesteg	Cheltenham Spa	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central, Newport, Severn Tunnel Junction, Caldicot, Chepstow, Lydney, Gloucester, Cheltenham Spa
2G72	Up			20:15	20:28	20:29	20:37	20:38	21:06	21:11	21:22	21:26	21:28				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		1	142			{Calling pattern}	Maesteg	Gloucester	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central, Newport, Severn Tunnel Junction, Caldicot, Chepstow, Lydney, Gloucester
2L69	Down		21:05		20:41	20:50	20:40	20:41	20:10	20:13	19:57	19:52	19:54				TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	2L60	1	142	Cheltenham		Forms: {Forms}	Cheltenham Spa	Maesteg	Arriva Trains Wales			Terminates here
2L69	Down		21:06		20:50	20:51	20:41	20:42	20:07	20:13	19:54	19:50	19:52				FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	2L60	1	142	Cheltenham		Forms: {Forms}	Cheltenham Spa	Maesteg	Arriva Trains Wales			Terminates here
2L60	Up			21:15	21:28	21:29	21:37	21:38	22:10								TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE		1	142			{Calling pattern}	Maesteg	Cardiff Central	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central
2L71	Down		22:04		21:48	21:49	21:39	21:40	21:10	21:13	20:57	20:52	20:54				TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	2G74	1	142	Cheltenham		Forms: {Forms}	Cheltenham Spa	Maesteg	Arriva Trains Wales			Terminates here
2G74	Up			22:15	22:28	22:29	22:37	22:38	23:08	23:20	23:30	23:34	23:37				TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE		1	142			{Calling pattern}	Maesteg	Gloucester	Arriva Trains Wales			Maesteg (Ewenny Road), Garth, Tondu, Sarn, Wildmill, Bridgend, Pencoed, Llanharan, Pontyclun, Cardiff Central, Newport, Severn Tunnel Junction, Caldicot, Chepstow, Lydney, Gloucester
2L73	Down		23:22		23:07	23:08	22:58	22:59	22:36	22:36							TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	5L73	1	150	Cardiff		Forms: {Forms}	Cardiff Central	Maesteg	Arriva Trains Wales			Terminates here
5L73	Up			23:36		23:50		23:55									TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		1	142			ECS {\n} {\n} To Cardiff Canton	Maesteg	Empty to depot	Arriva Trains Wales			
