name	day	civil_dawn	sunrise	sunset	civil_dusk
Canterbury - 1st week of September	Thursday	05:43	06:17	19:29	20:03
Canterbury - 1st week of September	Friday	05:45	06:19	19:27	20:01
Canterbury - 1st week of September	Saturday	05:47	06:21	19:25	19:59
Canterbury - 1st week of September	Sunday	05:48	06:22	19:22	19:56
Blackpool - 3rd week of February	Monday	06:46	07:22	17:31	18:07
Blackpool - 3rd week of February	Tuesday	06:44	07:20	17:33	18:09
Blackpool - 3rd week of February	Wednesday	06:42	07:17	17:35	18:11
Blackpool - 3rd week of February	Thursday	06:39	07:15	17:37	18:13
Blackpool - 3rd week of February	Friday	06:37	07:13	17:39	18:15
Blackpool - 3rd week of February	Saturday	06:35	07:11	17:41	18:17
Blackpool - 3rd week of February	Sunday	06:33	07:08	17:43	18:19
St Albans - 2nd week of January	Monday	07:26	08:06	16:11	16:51
St Albans - 2nd week of January	Tuesday	07:26	08:05	16:13	16:52
St Albans - 2nd week of January	Wednesday	07:25	08:05	16:14	16:54
St Albans - 2nd week of January	Thursday	07:25	08:04	16:16	16:55
St Albans - 2nd week of January	Friday	07:24	08:03	16:17	16:56
St Albans - 2nd week of January	Saturday	07:24	08:03	16:19	16:58
St Albans - 2nd week of January	Sunday	07:23	08:02	16:20	16:59
Paris - 2nd week of April	Monday	06:38	07:11	20:34	21:07
Paris - 2nd week of April	Tuesday	06:36	07:09	20:36	21:09
Paris - 2nd week of April	Wednesday	06:34	07:07	20:37	21:10
Paris - 2nd week of April	Thursday	06:32	07:05	20:39	21:12
Paris - 2nd week of April	Friday	06:29	07:03	20:40	21:13
Paris - 2nd week of April	Saturday	06:27	07:01	20:42	21:15
Paris - 2nd week of April	Sunday	06:25	06:59	20:43	21:17
Paris - 2nd week of January	Monday	08:06	08:43	17:13	17:50
Paris - 2nd week of January	Tuesday	08:06	08:42	17:15	17:51
Paris - 2nd week of January	Wednesday	08:05	08:42	17:16	17:52
Paris - 2nd week of January	Thursday	08:05	08:41	17:17	17:53
Paris - 2nd week of January	Friday	08:04	08:40	17:19	17:55
Paris - 2nd week of January	Saturday	08:04	08:40	17:20	17:56
Paris - 2nd week of January	Sunday	08:03	08:39	17:21	17:57
Berlin - 2nd week of July	Monday	04:07	04:55	21:27	22:15
Berlin - 2nd week of July	Tuesday	04:09	04:56	21:27	22:14
Berlin - 2nd week of July	Wednesday	04:10	04:58	21:26	22:13
Berlin - 2nd week of July	Thursday	04:11	04:59	21:25	22:12
Berlin - 2nd week of July	Friday	04:13	05:00	21:24	22:11
Berlin - 2nd week of July	Saturday	04:14	05:01	21:23	22:09
Berlin - 2nd week of July	Sunday	04:16	05:02	21:22	22:08
Berlin - 2nd week of October	Monday	06:46	07:20	18:26	19:00
Berlin - 2nd week of October	Tuesday	06:48	07:22	18:24	18:58
Berlin - 2nd week of October	Wednesday	06:50	07:24	18:21	18:56
Berlin - 2nd week of October	Thursday	06:51	07:26	18:19	18:53
Berlin - 2nd week of October	Friday	06:53	07:28	18:17	18:51
Berlin - 2nd week of October	Saturday	06:55	07:29	18:15	18:49
Berlin - 2nd week of October	Sunday	06:57	07:31	18:12	18:47
Rome - 2nd week of July	Monday	05:10	05:44	20:47	21:20
Rome - 2nd week of July	Tuesday	05:11	05:44	20:46	21:20
Rome - 2nd week of July	Wednesday	05:12	05:45	20:46	21:19
Rome - 2nd week of July	Thursday	05:13	05:46	20:45	21:18
Rome - 2nd week of July	Friday	05:13	05:47	20:44	21:18
Rome - 2nd week of July	Saturday	05:14	05:48	20:44	21:17
Rome - 2nd week of July	Sunday	05:15	05:48	20:43	21:16
Rome - 2nd week of January	Monday	07:06	07:38	16:57	17:28
Rome - 2nd week of January	Tuesday	07:06	07:37	16:58	17:29
Rome - 2nd week of January	Wednesday	07:06	07:37	16:59	17:30
Rome - 2nd week of January	Thursday	07:06	07:37	17:00	17:31
Rome - 2nd week of January	Friday	07:05	07:36	17:01	17:32
Rome - 2nd week of January	Saturday	07:05	07:36	17:02	17:33
Rome - 2nd week of January	Sunday	07:05	07:36	17:04	17:34
Madrid - 2nd week of August	Monday	06:55	07:24	21:14	21:44
Madrid - 2nd week of August	Tuesday	06:56	07:25	21:13	21:42
Madrid - 2nd week of August	Wednesday	06:57	07:26	21:11	21:41
Madrid - 2nd week of August	Thursday	06:58	07:27	21:10	21:39
Madrid - 2nd week of August	Friday	06:59	07:28	21:09	21:38
Madrid - 2nd week of August	Saturday	07:00	07:29	21:07	21:36
Madrid - 2nd week of August	Sunday	07:01	07:30	21:06	21:35
Madrid - 2nd week of November	Monday	07:29	07:58	18:00	18:29
Madrid - 2nd week of November	Tuesday	07:30	07:59	17:59	18:28
Madrid - 2nd week of November	Wednesday	07:31	08:00	17:58	18:27
Madrid - 2nd week of November	Thursday	07:32	08:02	17:57	18:26
Madrid - 2nd week of November	Friday	07:33	08:03	17:56	18:26
Madrid - 2nd week of November	Saturday	07:35	08:04	17:56	18:25
Madrid - 2nd week of November	Sunday	07:36	08:05	17:55	18:24
Amsterdam - 2nd week of April	Monday	06:20	06:55	20:30	21:05
Amsterdam - 2nd week of April	Tuesday	06:17	06:53	20:31	21:07
Amsterdam - 2nd week of April	Wednesday	06:15	06:51	20:33	21:09
Amsterdam - 2nd week of April	Thursday	06:12	06:48	20:35	21:11
Amsterdam - 2nd week of April	Friday	06:10	06:46	20:36	21:13
Amsterdam - 2nd week of April	Saturday	06:08	06:44	20:38	21:14
Amsterdam - 2nd week of April	Sunday	06:05	06:42	20:40	21:16
Amsterdam - 2nd week of December	Monday	07:59	08:40	16:27	17:08
Amsterdam - 2nd week of December	Tuesday	08:00	08:41	16:27	17:08
Amsterdam - 2nd week of December	Wednesday	08:01	08:42	16:27	17:08
Amsterdam - 2nd week of December	Thursday	08:02	08:43	16:27	17:08
Amsterdam - 2nd week of December	Friday	08:02	08:44	16:27	17:08
Amsterdam - 2nd week of December	Saturday	08:03	08:45	16:27	17:08
Amsterdam - 2nd week of December	Sunday	08:04	08:45	16:27	17:09
Vienna - 3rd week of May	Monday	04:38	05:16	20:27	21:04
Vienna - 3rd week of May	Tuesday	04:37	05:14	20:28	21:06
Vienna - 3rd week of May	Wednesday	04:36	05:13	20:29	21:07
Vienna - 3rd week of May	Thursday	04:34	05:12	20:31	21:08
Vienna - 3rd week of May	Friday	04:33	05:11	20:32	21:10
Vienna - 3rd week of May	Saturday	04:31	05:10	20:33	21:11
Vienna - 3rd week of May	Sunday	04:30	05:08	20:34	21:13
Vienna - 2nd week of October	Monday	06:33	07:04	18:18	18:50
Vienna - 2nd week of October	Tuesday	06:35	07:06	18:16	18:48
Vienna - 2nd week of October	Wednesday	06:36	07:07	18:14	18:46
Vienna - 2nd week of October	Thursday	06:38	07:09	18:12	18:44
Vienna - 2nd week of October	Friday	06:39	07:10	18:10	18:42
Vienna - 2nd week of October	Saturday	06:40	07:12	18:09	18:40
Vienna - 2nd week of October	Sunday	06:42	07:13	18:07	18:38
Prague - 2nd week of March	Monday	05:49	06:21	18:03	18:36
Prague - 2nd week of March	Tuesday	05:47	06:19	18:05	18:37
Prague - 2nd week of March	Wednesday	05:45	06:17	18:07	18:39
