name	mean_cloud	long_amp	short_amp	noise_pp	p_clear	p_overcast	event_clear_strength	event_overcast_strength	event_duration_min	event_duration_max	clear_ceiling
Norfolk - October	0.64	0.1	0.05	0.045	0.18	0.38	0.36	0.46	150	480	0.2
Swansea - August	0.56	0.09	0.06	0.035	0.3	0.26	0.36	0.4	150	480	0.15
Isle of Wight - June	0.46	0.08	0.06	0.03	0.36	0.2	0.34	0.34	120	420	0.12
Brighton – Late May	0.47	0.08	0.06	0.03	0.34	0.22	0.34	0.34	120	420	0.12
Oxford – Early October	0.63	0.1	0.05	0.045	0.18	0.38	0.36	0.46	150	480	0.2
Cambridge – Mid March	0.53	0.09	0.05	0.035	0.28	0.28	0.36	0.4	150	480	0.15
Liverpool – Late November	0.7	0.1	0.05	0.045	0.14	0.42	0.36	0.48	150	540	0.22
Newcastle – Early December	0.76	0.09	0.04	0.05	0.1	0.52	0.34	0.52	180	600	0.28
Bath – Mid July	0.44	0.08	0.06	0.03	0.36	0.2	0.34	0.34	120	420	0.12
Exeter – Early June	0.46	0.08	0.06	0.03	0.36	0.2	0.34	0.34	120	420	0.12
Hull – Late April	0.54	0.09	0.05	0.035	0.28	0.28	0.36	0.4	150	480	0.15
Chester – Mid August	0.56	0.09	0.06	0.035	0.3	0.26	0.36	0.4	150	480	0.15
Canterbury – Early September	0.5	0.09	0.06	0.035	0.32	0.24	0.36	0.38	150	480	0.15
Blackpool – Late February	0.62	0.08	0.04	0.04	0.18	0.4	0.34	0.48	180	540	0.2
St Albans – Mid January	0.8	0.08	0.04	0.05	0.08	0.55	0.34	0.52	180	600	0.3
Paris – Spring	0.45	0.08	0.06	0.03	0.38	0.18	0.34	0.34	120	420	0.12
Paris – Winter	0.7	0.09	0.04	0.045	0.12	0.42	0.36	0.48	180	600	0.25
Berlin – Summer	0.4	0.07	0.06	0.03	0.4	0.16	0.32	0.32	120	420	0.1
Berlin – Autumn	0.6	0.09	0.05	0.04	0.2	0.36	0.36	0.44	150	480	0.18
Rome – July	0.35	0.07	0.06	0.025	0.45	0.14	0.3	0.3	120	420	0.08
Rome – January	0.55	0.08	0.05	0.035	0.28	0.28	0.34	0.4	150	480	0.15
Madrid – August	0.3	0.06	0.06	0.02	0.5	0.12	0.28	0.28	120	420	0.08
Madrid – November	0.58	0.09	0.05	0.035	0.26	0.3	0.36	0.42	150	480	0.15
Amsterdam – April	0.5	0.09	0.06	0.035	0.32	0.24	0.36	0.38	150	480	0.15
Amsterdam – December	0.72	0.08	0.04	0.045	0.1	0.48	0.34	0.5	180	600	0.28
Vienna – May	0.46	0.08	0.06	0.03	0.36	0.2	0.34	0.34	120	420	0.12
Vienna – October	0.62	0.09	0.05	0.04	0.18	0.38	0.36	0.46	150	480	0.2
Prague – March	0.54	0.09	0.05	0.035	0.28	0.28	0.36	0.4	150	480	0.15
Prague – November	0.66	0.09	0.05	0.045	0.16	0.4	0.36	0.48	150	540	0.22
Warsaw – February	0.68	0.08	0.04	0.045	0.14	0.42	0.34	0.5	180	600	0.25
Warsaw – June	0.44	0.08	0.06	0.03	0.38	0.18	0.34	0.34	120	420	0.12
Budapest – July	0.4	0.07	0.06	0.03	0.4	0.16	0.32	0.32	120	420	0.1
Budapest – December	0.7	0.08	0.04	0.045	0.12	0.44	0.34	0.5	180	600	0.25
Brussels – September	0.52	0.09	0.06	0.035	0.3	0.26	0.36	0.4	150	480	0.15
Brussels – January	0.74	0.08	0.04	0.05	0.1	0.48	0.34	0.52	180	600	0.28
New York – Summer	0.42	0.07	0.06	0.03	0.38	0.18	0.32	0.32	120	420	0.12
New York – Winter	0.76	0.08	0.04	0.05	0.1	0.5	0.34	0.52	180	600	0.28
Chicago – Spring	0.5	0.09	0.06	0.035	0.32	0.24	0.36	0.38	150	480	0.15
Chicago – Autumn	0.64	0.09	0.05	0.045	0.18	0.38	0.36	0.46	150	480	0.2
Los Angeles – July	0.28	0.06	0.06	0.02	0.52	0.12	0.28	0.28	120	420	0.08
Los Angeles – January	0.48	0.08	0.05	0.03	0.34	0.22	0.34	0.34	150	480	0.12
San Francisco – June	0.36	0.07	0.06	0.025	0.46	0.16	0.3	0.3	120	420	0.1
San Francisco – December	0.62	0.08	0.04	0.04	0.18	0.4	0.34	0.48	180	540	0.2
Miami – August	0.38	0.07	0.06	0.025	0.44	0.18	0.3	0.3	120	420	0.1
Miami – February	0.52	0.08	0.05	0.03	0.3	0.28	0.34	0.38	150	480	0.15
Toronto – April	0.54	0.09	0.05	0.035	0.28	0.28	0.36	0.4	150	480	0.15
Toronto – November	0.68	0.09	0.05	0.045	0.14	0.42	0.36	0.48	150	540	0.22
Vancouver – May	0.46	0.08	0.06	0.03	0.36	0.2	0.34	0.34	120	420	0.12
Vancouver – December	0.74	0.08	0.04	0.05	0.1	0.48	0.34	0.52	180	600	0.28
Montreal – March	0.58	0.09	0.05	0.035	0.26	0.3	0.36	0.42	150	480	0.18
Montreal – October	0.66	0.09	0.05	0.045	0.16	0.4	0.36	0.48	150	540	0.22
Boston – June	0.44	0.08	0.06	0.03	0.38	0.18	0.34	0.34	120	420	0.12
Boston – January	0.78	0.08	0.04	0.05	0.08	0.55	0.34	0.52	180	600	0.3
Denver – July	0.34	0.07	0.06	0.025	0.48	0.14	0.3	0.3	120	420	0.08
Denver – February	0.56	0.08	0.05	0.035	0.28	0.3	0.34	0.4	150	480	0.15
